Country,date,vaccine,total_vaccinations
France,2020/12/27,Pfizer/BioNTech,403
France,2020/12/28,Pfizer/BioNTech,827
France,2020/12/29,Pfizer/BioNTech,1098
France,2020/12/30,Pfizer/BioNTech,1424
France,2020/12/31,Pfizer/BioNTech,1680
France,2021/1/1,Pfizer/BioNTech,1981
France,2021/1/2,Pfizer/BioNTech,2225
France,2021/1/3,Pfizer/BioNTech,2501
France,2021/1/4,Pfizer/BioNTech,4274
France,2021/1/5,Pfizer/BioNTech,9989
France,2021/1/6,Pfizer/BioNTech,21611
France,2021/1/7,Pfizer/BioNTech,50692
France,2021/1/8,Pfizer/BioNTech,87433
France,2021/1/9,Pfizer/BioNTech,98512
France,2021/1/10,Pfizer/BioNTech,104282
France,2021/1/11,Pfizer/BioNTech,143924
France,2021/1/12,Pfizer/BioNTech,205600
France,2021/1/13,Pfizer/BioNTech,270237
France,2021/1/14,Moderna,1165
France,2021/1/14,Pfizer/BioNTech,351127
France,2021/1/15,Moderna,1490
France,2021/1/15,Pfizer/BioNTech,419330
France,2021/1/16,Moderna,1750
France,2021/1/16,Pfizer/BioNTech,439193
France,2021/1/17,Moderna,1794
France,2021/1/17,Pfizer/BioNTech,450003
France,2021/1/18,Moderna,4817
France,2021/1/18,Pfizer/BioNTech,532566
France,2021/1/19,Moderna,9445
France,2021/1/19,Pfizer/BioNTech,658151
France,2021/1/20,Moderna,14511
France,2021/1/20,Pfizer/BioNTech,790275
France,2021/1/21,Moderna,19774
France,2021/1/21,Pfizer/BioNTech,942758
France,2021/1/22,Moderna,24815
France,2021/1/22,Pfizer/BioNTech,1058370
France,2021/1/23,Moderna,26645
France,2021/1/23,Pfizer/BioNTech,1094865
France,2021/1/24,Moderna,26793
France,2021/1/24,Pfizer/BioNTech,1104356
France,2021/1/25,Moderna,30535
France,2021/1/25,Pfizer/BioNTech,1179606
France,2021/1/26,Moderna,34373
France,2021/1/26,Pfizer/BioNTech,1278834
France,2021/1/27,Moderna,37900
France,2021/1/27,Pfizer/BioNTech,1387766
France,2021/1/28,Moderna,41546
France,2021/1/28,Pfizer/BioNTech,1522347
France,2021/1/29,Moderna,44755
France,2021/1/29,Pfizer/BioNTech,1628191
France,2021/1/30,Moderna,45865
France,2021/1/30,Pfizer/BioNTech,1660251
France,2021/1/31,Moderna,45891
France,2021/1/31,Pfizer/BioNTech,1666992
France,2021/2/1,Moderna,49221
France,2021/2/1,Pfizer/BioNTech,1737071
France,2021/2/2,Moderna,53630
France,2021/2/2,Pfizer/BioNTech,1838893
France,2021/2/3,Moderna,58781
France,2021/2/3,Pfizer/BioNTech,1942512
France,2021/2/4,Moderna,63628
France,2021/2/4,Pfizer/BioNTech,2069186
France,2021/2/5,Moderna,68364
France,2021/2/5,Pfizer/BioNTech,2177562
France,2021/2/6,Moderna,70357
France,2021/2/6,Oxford/AstraZeneca,930
France,2021/2/6,Pfizer/BioNTech,2207217
France,2021/2/7,Moderna,70436
France,2021/2/7,Oxford/AstraZeneca,2307
France,2021/2/7,Pfizer/BioNTech,2215832
France,2021/2/8,Moderna,77927
France,2021/2/8,Oxford/AstraZeneca,5016
France,2021/2/8,Pfizer/BioNTech,2297973
France,2021/2/9,Moderna,86286
France,2021/2/9,Oxford/AstraZeneca,11725
France,2021/2/9,Pfizer/BioNTech,2420821
France,2021/2/10,Moderna,95585
France,2021/2/10,Oxford/AstraZeneca,21195
France,2021/2/10,Pfizer/BioNTech,2548972
France,2021/2/11,Moderna,105820
France,2021/2/11,Oxford/AstraZeneca,34685
France,2021/2/11,Pfizer/BioNTech,2710945
France,2021/2/12,Moderna,115993
France,2021/2/12,Oxford/AstraZeneca,47884
France,2021/2/12,Pfizer/BioNTech,2840336
France,2021/2/13,Moderna,119293
France,2021/2/13,Oxford/AstraZeneca,51500
France,2021/2/13,Pfizer/BioNTech,2874921
France,2021/2/14,Moderna,119621
France,2021/2/14,Oxford/AstraZeneca,52416
France,2021/2/14,Pfizer/BioNTech,2885702
France,2021/2/15,Moderna,126089
France,2021/2/15,Oxford/AstraZeneca,62705
France,2021/2/15,Pfizer/BioNTech,2982955
France,2021/2/16,Moderna,134975
France,2021/2/16,Oxford/AstraZeneca,75065
France,2021/2/16,Pfizer/BioNTech,3112134
France,2021/2/17,Moderna,143561
France,2021/2/17,Oxford/AstraZeneca,86038
France,2021/2/17,Pfizer/BioNTech,3245419
France,2021/2/18,Moderna,153979
France,2021/2/18,Oxford/AstraZeneca,100800
France,2021/2/18,Pfizer/BioNTech,3407715
France,2021/2/19,Moderna,163570
France,2021/2/19,Oxford/AstraZeneca,115017
France,2021/2/19,Pfizer/BioNTech,3539127
France,2021/2/20,Moderna,166893
France,2021/2/20,Oxford/AstraZeneca,118252
France,2021/2/20,Pfizer/BioNTech,3579261
France,2021/2/21,Moderna,167194
France,2021/2/21,Oxford/AstraZeneca,118833
France,2021/2/21,Pfizer/BioNTech,3587863
France,2021/2/22,Moderna,174487
France,2021/2/22,Oxford/AstraZeneca,127875
France,2021/2/22,Pfizer/BioNTech,3681642
France,2021/2/23,Moderna,183073
France,2021/2/23,Oxford/AstraZeneca,139107
France,2021/2/23,Pfizer/BioNTech,3799072
France,2021/2/24,Moderna,191459
France,2021/2/24,Oxford/AstraZeneca,153213
France,2021/2/24,Pfizer/BioNTech,3916900
France,2021/2/25,Moderna,200278
France,2021/2/25,Oxford/AstraZeneca,197948
France,2021/2/25,Pfizer/BioNTech,4054556
France,2021/2/26,Moderna,207700
France,2021/2/26,Oxford/AstraZeneca,259646
France,2021/2/26,Pfizer/BioNTech,4169141
France,2021/2/27,Moderna,210319
France,2021/2/27,Oxford/AstraZeneca,294313
