,location,date,vaccine,total_vaccinations
15937,European Union,2020/12/27,Johnson&Johnson,0
15938,European Union,2020/12/27,Moderna,11
15939,European Union,2020/12/27,Oxford/AstraZeneca,0
15940,European Union,2020/12/27,Pfizer/BioNTech,34349
15941,European Union,2020/12/27,Sinopharm/Beijing,0
15942,European Union,2020/12/27,Sputnik V,0
15943,European Union,2020/12/28,Johnson&Johnson,0
15944,European Union,2020/12/28,Moderna,14
15945,European Union,2020/12/28,Oxford/AstraZeneca,0
15946,European Union,2020/12/28,Pfizer/BioNTech,58380
15947,European Union,2020/12/28,Sinopharm/Beijing,0
15948,European Union,2020/12/28,Sputnik V,0
15949,European Union,2020/12/29,Johnson&Johnson,0
15950,European Union,2020/12/29,Moderna,17
15951,European Union,2020/12/29,Oxford/AstraZeneca,1
15952,European Union,2020/12/29,Pfizer/BioNTech,115388
15953,European Union,2020/12/29,Sinopharm/Beijing,0
15954,European Union,2020/12/29,Sputnik V,0
15955,European Union,2020/12/30,Johnson&Johnson,0
15956,European Union,2020/12/30,Moderna,25
15957,European Union,2020/12/30,Oxford/AstraZeneca,1
15958,European Union,2020/12/30,Pfizer/BioNTech,191735
15959,European Union,2020/12/30,Sinopharm/Beijing,0
15960,European Union,2020/12/30,Sputnik V,0
15961,European Union,2020/12/31,Johnson&Johnson,0
15962,European Union,2020/12/31,Moderna,26
15963,European Union,2020/12/31,Oxford/AstraZeneca,1
15964,European Union,2020/12/31,Pfizer/BioNTech,273712
15965,European Union,2020/12/31,Sinopharm/Beijing,0
15966,European Union,2020/12/31,Sputnik V,0
15967,European Union,2021/1/1,Johnson&Johnson,1
15968,European Union,2021/1/1,Moderna,81
15969,European Union,2021/1/1,Oxford/AstraZeneca,4
15970,European Union,2021/1/1,Pfizer/BioNTech,334447
15971,European Union,2021/1/1,Sinopharm/Beijing,0
15972,European Union,2021/1/1,Sputnik V,0
15973,European Union,2021/1/2,Johnson&Johnson,1
15974,European Union,2021/1/2,Moderna,86
15975,European Union,2021/1/2,Oxford/AstraZeneca,4
15976,European Union,2021/1/2,Pfizer/BioNTech,424591
15977,European Union,2021/1/2,Sinopharm/Beijing,0
15978,European Union,2021/1/2,Sputnik V,0
15979,European Union,2021/1/3,Johnson&Johnson,1
15980,European Union,2021/1/3,Moderna,97
15981,European Union,2021/1/3,Oxford/AstraZeneca,4
15982,European Union,2021/1/3,Pfizer/BioNTech,484409
15983,European Union,2021/1/3,Sinopharm/Beijing,0
15984,European Union,2021/1/3,Sputnik V,0
15985,European Union,2021/1/4,Johnson&Johnson,25
15986,European Union,2021/1/4,Moderna,122
15987,European Union,2021/1/4,Oxford/AstraZeneca,4
15988,European Union,2021/1/4,Pfizer/BioNTech,618377
15989,European Union,2021/1/4,Sinopharm/Beijing,0
15990,European Union,2021/1/4,Sputnik V,0
15991,European Union,2021/1/5,Johnson&Johnson,26
15992,European Union,2021/1/5,Moderna,125
15993,European Union,2021/1/5,Oxford/AstraZeneca,4
15994,European Union,2021/1/5,Pfizer/BioNTech,778957
15995,European Union,2021/1/5,Sinopharm/Beijing,0
15996,European Union,2021/1/5,Sputnik V,0
15997,European Union,2021/1/6,Johnson&Johnson,26
15998,European Union,2021/1/6,Moderna,136
15999,European Union,2021/1/6,Oxford/AstraZeneca,7
16000,European Union,2021/1/6,Pfizer/BioNTech,942929
16001,European Union,2021/1/6,Sinopharm/Beijing,0
16002,European Union,2021/1/6,Sputnik V,0
16003,European Union,2021/1/7,Johnson&Johnson,29
16004,European Union,2021/1/7,Moderna,145
16005,European Union,2021/1/7,Oxford/AstraZeneca,9
16006,European Union,2021/1/7,Pfizer/BioNTech,1146523
16007,European Union,2021/1/7,Sinopharm/Beijing,0
16008,European Union,2021/1/7,Sputnik V,0
16009,European Union,2021/1/8,Johnson&Johnson,42
16010,European Union,2021/1/8,Moderna,448
16011,European Union,2021/1/8,Oxford/AstraZeneca,185
16012,European Union,2021/1/8,Pfizer/BioNTech,2618485
16013,European Union,2021/1/8,Sinopharm/Beijing,0
16014,European Union,2021/1/8,Sputnik V,0
16015,European Union,2021/1/9,Johnson&Johnson,42
16016,European Union,2021/1/9,Moderna,491
16017,European Union,2021/1/9,Oxford/AstraZeneca,189
16018,European Union,2021/1/9,Pfizer/BioNTech,2790169
16019,European Union,2021/1/9,Sinopharm/Beijing,0
16020,European Union,2021/1/9,Sputnik V,0
16021,European Union,2021/1/10,Johnson&Johnson,42
16022,European Union,2021/1/10,Moderna,500
16023,European Union,2021/1/10,Oxford/AstraZeneca,190
16024,European Union,2021/1/10,Pfizer/BioNTech,2900806
16025,European Union,2021/1/10,Sinopharm/Beijing,0
16026,European Union,2021/1/10,Sputnik V,0
16027,European Union,2021/1/11,Johnson&Johnson,42
16028,European Union,2021/1/11,Moderna,632
16029,European Union,2021/1/11,Oxford/AstraZeneca,192
16030,European Union,2021/1/11,Pfizer/BioNTech,3118787
16031,European Union,2021/1/11,Sinopharm/Beijing,0
16032,European Union,2021/1/11,Sputnik V,0
16033,European Union,2021/1/12,Johnson&Johnson,42
16034,European Union,2021/1/12,Moderna,745
16035,European Union,2021/1/12,Oxford/AstraZeneca,197
16036,European Union,2021/1/12,Pfizer/BioNTech,3372681
16037,European Union,2021/1/12,Sinopharm/Beijing,0
16038,European Union,2021/1/12,Sputnik V,0
16039,European Union,2021/1/13,Johnson&Johnson,42
16040,European Union,2021/1/13,Moderna,2150
16041,European Union,2021/1/13,Oxford/AstraZeneca,197
16042,European Union,2021/1/13,Pfizer/BioNTech,3672297
16043,European Union,2021/1/13,Sinopharm/Beijing,0
16044,European Union,2021/1/13,Sputnik V,0
16045,European Union,2021/1/14,Johnson&Johnson,42
16046,European Union,2021/1/14,Moderna,10327
16047,European Union,2021/1/14,Oxford/AstraZeneca,199
16048,European Union,2021/1/14,Pfizer/BioNTech,3955784
16049,European Union,2021/1/14,Sinopharm/Beijing,0
16050,European Union,2021/1/14,Sputnik V,0
16051,European Union,2021/1/15,Johnson&Johnson,42
16052,European Union,2021/1/15,Moderna,36342
16053,European Union,2021/1/15,Oxford/AstraZeneca,367
16054,European Union,2021/1/15,Pfizer/BioNTech,5671728
16055,European Union,2021/1/15,Sinopharm/Beijing,0
16056,European Union,2021/1/15,Sputnik V,0
16057,European Union,2021/1/16,Johnson&Johnson,42
16058,European Union,2021/1/16,Moderna,39621
16059,European Union,2021/1/16,Oxford/AstraZeneca,371
16060,European Union,2021/1/16,Pfizer/BioNTech,5828746
16061,European Union,2021/1/16,Sinopharm/Beijing,0
16062,European Union,2021/1/16,Sputnik V,0
16063,European Union,2021/1/17,Johnson&Johnson,43
16064,European Union,2021/1/17,Moderna,41312
16065,European Union,2021/1/17,Oxford/AstraZeneca,374
16066,European Union,2021/1/17,Pfizer/BioNTech,5934429
16067,European Union,2021/1/17,Sinopharm/Beijing,0
16068,European Union,2021/1/17,Sputnik V,0
16069,European Union,2021/1/18,Johnson&Johnson,43
16070,European Union,2021/1/18,Moderna,50148
16071,European Union,2021/1/18,Oxford/AstraZeneca,377
16072,European Union,2021/1/18,Pfizer/BioNTech,6183824
16073,European Union,2021/1/18,Sinopharm/Beijing,0
16074,European Union,2021/1/18,Sputnik V,0
16075,European Union,2021/1/19,Johnson&Johnson,43
16076,European Union,2021/1/19,Moderna,61711
16077,European Union,2021/1/19,Oxford/AstraZeneca,430
16078,European Union,2021/1/19,Pfizer/BioNTech,6506071
16079,European Union,2021/1/19,Sinopharm/Beijing,0
16080,European Union,2021/1/19,Sputnik V,0
16081,European Union,2021/1/20,Johnson&Johnson,43
16082,European Union,2021/1/20,Moderna,74712
16083,European Union,2021/1/20,Oxford/AstraZeneca,435
16084,European Union,2021/1/20,Pfizer/BioNTech,6849074
16085,European Union,2021/1/20,Sinopharm/Beijing,0
16086,European Union,2021/1/20,Sputnik V,0
16087,European Union,2021/1/21,Johnson&Johnson,43
16088,European Union,2021/1/21,Moderna,86682
16089,European Union,2021/1/21,Oxford/AstraZeneca,437
16090,European Union,2021/1/21,Pfizer/BioNTech,7193510
16091,European Union,2021/1/21,Sinopharm/Beijing,0
16092,European Union,2021/1/21,Sputnik V,0
16093,European Union,2021/1/22,Johnson&Johnson,44
16094,European Union,2021/1/22,Moderna,135475
16095,European Union,2021/1/22,Oxford/AstraZeneca,660
16096,European Union,2021/1/22,Pfizer/BioNTech,8915193
16097,European Union,2021/1/22,Sinopharm/Beijing,0
16098,European Union,2021/1/22,Sputnik V,0
16099,European Union,2021/1/23,Johnson&Johnson,44
16100,European Union,2021/1/23,Moderna,138748
16101,European Union,2021/1/23,Oxford/AstraZeneca,667
16102,European Union,2021/1/23,Pfizer/BioNTech,9113370
16103,European Union,2021/1/23,Sinopharm/Beijing,0
16104,European Union,2021/1/23,Sputnik V,0
16105,European Union,2021/1/24,Johnson&Johnson,44
16106,European Union,2021/1/24,Moderna,140008
16107,European Union,2021/1/24,Oxford/AstraZeneca,671
16108,European Union,2021/1/24,Pfizer/BioNTech,9233844
16109,European Union,2021/1/24,Sinopharm/Beijing,0
16110,European Union,2021/1/24,Sputnik V,0
16111,European Union,2021/1/25,Johnson&Johnson,44
16112,European Union,2021/1/25,Moderna,146076
16113,European Union,2021/1/25,Oxford/AstraZeneca,675
16114,European Union,2021/1/25,Pfizer/BioNTech,9518481
16115,European Union,2021/1/25,Sinopharm/Beijing,0
16116,European Union,2021/1/25,Sputnik V,0
16117,European Union,2021/1/26,Johnson&Johnson,44
16118,European Union,2021/1/26,Moderna,152383
16119,European Union,2021/1/26,Oxford/AstraZeneca,682
16120,European Union,2021/1/26,Pfizer/BioNTech,9852986
16121,European Union,2021/1/26,Sinopharm/Beijing,0
16122,European Union,2021/1/26,Sputnik V,0
16123,European Union,2021/1/27,Johnson&Johnson,45
16124,European Union,2021/1/27,Moderna,158743
16125,European Union,2021/1/27,Oxford/AstraZeneca,691
16126,European Union,2021/1/27,Pfizer/BioNTech,10195798
16127,European Union,2021/1/27,Sinopharm/Beijing,0
16128,European Union,2021/1/27,Sputnik V,0
16129,European Union,2021/1/28,Johnson&Johnson,46
16130,European Union,2021/1/28,Moderna,164996
16131,European Union,2021/1/28,Oxford/AstraZeneca,696
16132,European Union,2021/1/28,Pfizer/BioNTech,10566552
16133,European Union,2021/1/28,Sinopharm/Beijing,0
16134,European Union,2021/1/28,Sputnik V,0
16135,European Union,2021/1/29,Johnson&Johnson,48
16136,European Union,2021/1/29,Moderna,198214
16137,European Union,2021/1/29,Oxford/AstraZeneca,948
16138,European Union,2021/1/29,Pfizer/BioNTech,12724709
16139,European Union,2021/1/29,Sinopharm/Beijing,0
16140,European Union,2021/1/29,Sputnik V,0
16141,European Union,2021/1/30,Johnson&Johnson,49
16142,European Union,2021/1/30,Moderna,200692
16143,European Union,2021/1/30,Oxford/AstraZeneca,956
16144,European Union,2021/1/30,Pfizer/BioNTech,12961186
16145,European Union,2021/1/30,Sinopharm/Beijing,0
16146,European Union,2021/1/30,Sputnik V,0
16147,European Union,2021/1/31,Johnson&Johnson,49
16148,European Union,2021/1/31,Moderna,201310
16149,European Union,2021/1/31,Oxford/AstraZeneca,964
16150,European Union,2021/1/31,Pfizer/BioNTech,13105374
16151,European Union,2021/1/31,Sinopharm/Beijing,0
16152,European Union,2021/1/31,Sputnik V,0
16153,European Union,2021/2/1,Johnson&Johnson,49
16154,European Union,2021/2/1,Moderna,207671
16155,European Union,2021/2/1,Oxford/AstraZeneca,1022
16156,European Union,2021/2/1,Pfizer/BioNTech,13420872
16157,European Union,2021/2/1,Sinopharm/Beijing,0
16158,European Union,2021/2/1,Sputnik V,0
16159,European Union,2021/2/2,Johnson&Johnson,50
16160,European Union,2021/2/2,Moderna,216799
16161,European Union,2021/2/2,Oxford/AstraZeneca,1071
16162,European Union,2021/2/2,Pfizer/BioNTech,13782409
16163,European Union,2021/2/2,Sinopharm/Beijing,0
16164,European Union,2021/2/2,Sputnik V,0
16165,European Union,2021/2/3,Johnson&Johnson,50
16166,European Union,2021/2/3,Moderna,230713
16167,European Union,2021/2/3,Oxford/AstraZeneca,1098
16168,European Union,2021/2/3,Pfizer/BioNTech,14180280
16169,European Union,2021/2/3,Sinopharm/Beijing,0
16170,European Union,2021/2/3,Sputnik V,0
16171,European Union,2021/2/4,Johnson&Johnson,51
16172,European Union,2021/2/4,Moderna,250814
16173,European Union,2021/2/4,Oxford/AstraZeneca,1108
16174,European Union,2021/2/4,Pfizer/BioNTech,14576331
16175,European Union,2021/2/4,Sinopharm/Beijing,0
